#Format:deltacp   chi^2 
-180 4.65045e-07 
-176.4 0.212864 
-172.8 0.422249 
-169.2 0.627553 
-165.6 0.828207 
-162 1.02368 
-158.4 1.21349 
-154.8 1.39718 
-151.2 1.57434 
-147.6 1.74461 
-144 1.90767 
-140.4 2.06323 
-136.8 2.21107 
-133.2 2.35098 
-129.6 2.48282 
-126 2.60647 
-122.4 2.72187 
-118.8 2.829 
-115.2 2.92786 
-111.6 3.01852 
-108 3.10106 
-104.4 3.17562 
-100.8 3.24239 
-97.2 3.30157 
-93.6 3.35343 
-90 3.39826 
-86.4 3.43641 
-82.8 3.46827 
-79.2 3.49425 
-75.6 3.51483 
-72 3.53052 
-68.4 3.45466 
-64.8 3.32821 
-61.2 3.19364 
-57.6 3.05119 
-54 2.90113 
-50.4 2.74376 
-46.8 2.5794 
-43.2 2.4084 
-39.6 2.23114 
-36 2.04801 
-32.4 1.85944 
-28.8 1.66589 
-25.2 1.46782 
-21.6 1.26575 
-18 1.0602 
-14.4 0.851703 
-10.8 0.64084 
-7.2 0.428193 
-3.6 0.214372 
-1.64313e-13 5.19705e-07 
3.6 0.214283 
7.2 0.427824 
10.8 0.639957 
14.4 0.850011 
18 1.05731 
21.6 1.26116 
25.2 1.4609 
28.8 1.65585 
32.4 1.84535 
36 2.02874 
39.6 2.2054 
43.2 2.37473 
46.8 2.53614 
50.4 2.6891 
54 2.83311 
57.6 2.96773 
61.2 3.09257 
64.8 3.20728 
68.4 3.3116 
72 3.40535 
75.6 3.4884 
79.2 3.56074 
82.8 3.62242 
86.4 3.6736 
90 3.71453 
93.6 3.74556 
97.2 3.76715 
100.8 3.77985 
104.4 3.78431 
108 3.78127 
111.6 3.75644 
115.2 3.6135 
118.8 3.46083 
122.4 3.29893 
126 3.12835 
129.6 2.9497 
133.2 2.76361 
136.8 2.57076 
140.4 2.37186 
144 2.16763 
147.6 1.95883 
151.2 1.74621 
154.8 1.53056 
158.4 1.31263 
162 1.09322 
165.6 0.873069 
169.2 0.652946 
172.8 0.433585 
176.4 0.215705 
180 3.72668e-07 
