#Format:deltacp   chi^2 
-180 1.28503e-06 
-176.4 0.186441 
-172.8 0.371189 
-169.2 0.555015 
-165.6 0.738685 
-162 0.922949 
-158.4 1.10852 
-154.8 1.29609 
-151.2 1.48626 
-147.6 1.67959 
-144 1.87657 
-140.4 2.07761 
-136.8 2.28302 
-133.2 2.49305 
-129.6 2.70785 
-126 2.92747 
-122.4 3.15192 
-118.8 3.38107 
-115.2 3.61475 
-111.6 3.85271 
-108 4.09464 
-104.4 4.34015 
-100.8 4.58881 
-97.2 4.84012 
-93.6 5.09356 
-90 5.34857 
-86.4 5.6045 
-82.8 5.86072 
-79.2 6.11657 
-75.6 5.92498 
-72 5.62541 
-68.4 5.32304 
-64.8 5.01862 
-61.2 4.71288 
-57.6 4.40656 
-54 4.10044 
-50.4 3.79523 
-46.8 3.4917 
-43.2 3.19057 
-39.6 2.89257 
-36 2.59842 
-32.4 2.3088 
-28.8 2.02439 
-25.2 1.74581 
-21.6 1.47365 
-18 1.20845 
-14.4 0.950662 
-10.8 0.700684 
-7.2 0.458809 
-3.6 0.225226 
-1.64313e-13 1.03106e-06 
3.6 0.216938 
7.2 0.425807 
10.8 0.626991 
14.4 0.821041 
18 1.00869 
21.6 1.19083 
25.2 1.36854 
28.8 1.54303 
32.4 1.71565 
36 1.88782 
39.6 2.06102 
43.2 2.23672 
46.8 2.41634 
50.4 2.6012 
54 2.79245 
57.6 2.99105 
61.2 3.19777 
64.8 3.41311 
68.4 3.63732 
72 3.87041 
75.6 4.11218 
79.2 4.36219 
82.8 4.61982 
86.4 4.88428 
90 5.15461 
93.6 5.42977 
97.2 5.70863 
100.8 5.4341 
104.4 5.1346 
108 4.83649 
111.6 4.54078 
115.2 4.24834 
118.8 3.95999 
122.4 3.67647 
126 3.39839 
129.6 3.12631 
133.2 2.86063 
136.8 2.60169 
140.4 2.34972 
144 2.1048 
147.6 1.86698 
151.2 1.63614 
154.8 1.4121 
158.4 1.19458 
162 0.983206 
165.6 0.777513 
169.2 0.576972 
172.8 0.380986 
176.4 0.188896 
180 1.46426e-06 
